::ffff:127.0.0.1 - - [16/May/2017:06:59:27 +0000] "GET /sockjs-node/info?t=1494917965225 HTTP/1.1" 404 24
::ffff:127.0.0.1 - - [16/May/2017:06:59:31 +0000] "GET /sockjs-node/info?t=1494917971306 HTTP/1.1" 404 24
::ffff:127.0.0.1 - - [16/May/2017:06:59:39 +0000] "GET /sockjs-node/info?t=1494917979355 HTTP/1.1" 404 24
::ffff:127.0.0.1 - - [16/May/2017:06:59:55 +0000] "GET /sockjs-node/info?t=1494917995384 HTTP/1.1" 404 24
::ffff:127.0.0.1 - - [16/May/2017:07:00:01 +0000] "GET / HTTP/1.1" 302 66
::ffff:127.0.0.1 - - [16/May/2017:07:00:01 +0000] "GET /login.html HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [16/May/2017:07:00:01 +0000] "GET /js/jquery.min.js HTTP/1.1" 304 -
::ffff:127.0.0.1 - - [16/May/2017:07:00:05 +0000] "POST /User/Login HTTP/1.1" 200 377
::ffff:127.0.0.1 - - [16/May/2017:07:00:30 +0000] "GET /sockjs-node/info?t=1494918030202 HTTP/1.1" 404 24
::ffff:127.0.0.1 - - [16/May/2017:07:01:38 +0000] "GET /sockjs-node/info?t=1494918098196 HTTP/1.1" 404 24
::1 - - [16/May/2017:07:03:50 +0000] "GET /sockjs-node/info?t=1494918230193 HTTP/1.1" 404 24
::1 - - [16/May/2017:07:08:10 +0000] "GET /sockjs-node/info?t=1494918490182 HTTP/1.1" 404 24
::ffff:127.0.0.1 - - [16/May/2017:07:09:07 +0000] "GET /index.html HTTP/1.1" 200 572
::ffff:127.0.0.1 - - [16/May/2017:07:09:07 +0000] "GET /js/highcharts-zh_CN.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [16/May/2017:07:09:07 +0000] "GET /js/exporting.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [16/May/2017:07:09:07 +0000] "GET /js/jquery-1.8.3.min.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [16/May/2017:07:09:07 +0000] "GET /js/highcharts.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [16/May/2017:07:09:07 +0000] "GET /js/build.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [16/May/2017:07:11:14 +0000] "GET /login HTTP/1.1" 404 24
::ffff:127.0.0.1 - - [16/May/2017:07:11:18 +0000] "GET /login.js HTTP/1.1" 404 24
::ffff:127.0.0.1 - - [16/May/2017:07:11:21 +0000] "GET /login.html HTTP/1.1" 304 -
::ffff:127.0.0.1 - - [16/May/2017:07:11:21 +0000] "GET /js/jquery.min.js HTTP/1.1" 304 -
::ffff:127.0.0.1 - - [16/May/2017:07:14:38 +0000] "GET /login.html HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [16/May/2017:07:14:38 +0000] "GET /js/jquery.min.js HTTP/1.1" 304 -
::ffff:127.0.0.1 - - [16/May/2017:07:14:43 +0000] "POST /User/Login HTTP/1.1" 200 102
::ffff:127.0.0.1 - - [16/May/2017:07:15:02 +0000] "POST /User/Login HTTP/1.1" 200 377
::ffff:127.0.0.1 - - [16/May/2017:07:15:12 +0000] "GET /login.html HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [16/May/2017:07:15:13 +0000] "GET /js/jquery.min.js HTTP/1.1" 304 -
::ffff:127.0.0.1 - - [16/May/2017:07:15:24 +0000] "POST /User/Login HTTP/1.1" 200 377
::1 - - [16/May/2017:07:16:46 +0000] "GET /sockjs-node/info?t=1494919006164 HTTP/1.1" 404 24
::ffff:127.0.0.1 - - [16/May/2017:07:17:42 +0000] "POST /User/Login HTTP/1.1" 200 129
::ffff:127.0.0.1 - - [16/May/2017:07:17:46 +0000] "POST /User/Login HTTP/1.1" 200 102
::ffff:127.0.0.1 - - [16/May/2017:07:19:00 +0000] "POST /User/Login HTTP/1.1" 200 377
::ffff:127.0.0.1 - - [16/May/2017:07:26:19 +0000] "GET /login.html HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [16/May/2017:07:26:19 +0000] "GET /js/jquery.min.js HTTP/1.1" 304 -
::ffff:127.0.0.1 - - [16/May/2017:07:27:15 +0000] "GET /login.html HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [16/May/2017:07:27:15 +0000] "GET /js/jquery.min.js HTTP/1.1" 304 -
::ffff:127.0.0.1 - - [16/May/2017:07:27:27 +0000] "GET /login.html HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [16/May/2017:07:27:27 +0000] "GET /js/jquery.min.js HTTP/1.1" 304 -
::ffff:127.0.0.1 - - [16/May/2017:07:28:14 +0000] "GET /login.html HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [16/May/2017:07:28:14 +0000] "GET /js/jquery.min.js HTTP/1.1" 304 -
::ffff:127.0.0.1 - - [16/May/2017:07:28:34 +0000] "GET /login.html HTTP/1.1" 200 -
